Hari,Tanggal,Waktu,Time to collision,Kategori SCE
Rabu,16 Agustus 2023,15:10:12,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:13,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:14,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:15,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:16,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:17,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:18,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:19,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:20,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:21,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:22,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:23,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:24,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:25,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:26,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:27,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:28,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:29,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:30,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:31,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:32,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:33,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:34,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:35,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:36,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:37,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:38,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:39,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:40,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:41,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:42,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:43,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:44,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:45,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:46,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:47,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:48,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:49,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:50,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:51,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:52,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:53,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:54,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:55,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:56,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:57,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:58,nan,Non-Conflict
Rabu,16 Agustus 2023,15:10:59,nan,Non-Conflict
Rabu,16 Agustus 2023,15:11:00,nan,Non-Conflict
Rabu,16 Agustus 2023,15:11:01,nan,Non-Conflict
Rabu,16 Agustus 2023,15:11:02,nan,Non-Conflict
Rabu,16 Agustus 2023,15:11:03,nan,-
Rabu,16 Agustus 2023,15:11:04,89.17808219178092,-
Rabu,16 Agustus 2023,15:11:05,nan,-
Rabu,16 Agustus 2023,15:11:06,324.22500000000696,-
Rabu,16 Agustus 2023,15:11:07,429.6000000000244,-
Rabu,16 Agustus 2023,15:11:08,608.4000000000212,-
Rabu,16 Agustus 2023,15:11:09,nan,-
Rabu,16 Agustus 2023,15:11:10,46.24000000000007,-
Rabu,16 Agustus 2023,15:11:11,nan,-
Rabu,16 Agustus 2023,15:11:12,nan,-
Rabu,16 Agustus 2023,15:11:13,78.3219512195124,-
Rabu,16 Agustus 2023,15:11:14,nan,-
Rabu,16 Agustus 2023,15:11:15,91.78317757009344,-
Rabu,16 Agustus 2023,15:11:16,nan,-
Rabu,16 Agustus 2023,15:11:17,nan,-
Rabu,16 Agustus 2023,15:11:18,nan,-
Rabu,16 Agustus 2023,15:11:19,nan,-
Rabu,16 Agustus 2023,15:11:20,nan,-
Rabu,16 Agustus 2023,15:11:21,259.63902439024605,-
Rabu,16 Agustus 2023,15:11:22,86.86097560975607,-
Rabu,16 Agustus 2023,15:11:23,nan,-
Rabu,16 Agustus 2023,15:11:24,nan,-
Rabu,16 Agustus 2023,15:11:25,nan,-
Rabu,16 Agustus 2023,15:11:26,249.17142857142755,-
Rabu,16 Agustus 2023,15:11:27,642.0000000000516,-
Rabu,16 Agustus 2023,15:11:28,nan,-
Rabu,16 Agustus 2023,15:11:29,594.7714285714262,-
Rabu,16 Agustus 2023,15:11:30,nan,-
Rabu,16 Agustus 2023,15:11:31,nan,-
Rabu,16 Agustus 2023,15:11:32,nan,-
Rabu,16 Agustus 2023,15:11:33,nan,-
Rabu,16 Agustus 2023,15:11:34,nan,-
Rabu,16 Agustus 2023,15:11:35,nan,-
Rabu,16 Agustus 2023,15:11:36,923.4000000001838,-
Rabu,16 Agustus 2023,15:11:37,59.151219512195276,-
Rabu,16 Agustus 2023,15:11:38,nan,-
Rabu,16 Agustus 2023,15:11:39,nan,-
Rabu,16 Agustus 2023,15:11:40,nan,-
Rabu,16 Agustus 2023,15:11:41,nan,-
Rabu,16 Agustus 2023,15:11:42,nan,-
Rabu,16 Agustus 2023,15:11:43,nan,-
Rabu,16 Agustus 2023,15:11:44,2214.9000000004407,-
Rabu,16 Agustus 2023,15:11:45,4554.000000000906,-
Rabu,16 Agustus 2023,15:11:46,nan,-
Rabu,16 Agustus 2023,15:11:47,nan,-
Rabu,16 Agustus 2023,15:11:48,nan,-
Rabu,16 Agustus 2023,15:11:49,nan,-
Rabu,16 Agustus 2023,15:11:50,319.84615384616507,-
Rabu,16 Agustus 2023,15:11:51,149.9250000000032,-
Rabu,16 Agustus 2023,15:11:52,nan,-
Rabu,16 Agustus 2023,15:11:53,nan,-
Rabu,16 Agustus 2023,15:11:54,nan,-
